case_id,category,scenario,duration_ms,params_json,outputs_json
periodic_typical_henon,backend_periodic_orbits,typical,2032.1672500000002,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""grid_size"":15,""max_period"":7,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""residual_threshold"":1e-10,""theta_grid_size"":12}","{""has_period_4"":true,""has_period_7"":true,""period_histogram"":{""p1"":2,""p4"":1,""p5"":1,""p6"":2,""p7"":2},""stability_histogram"":{""saddle"":2,""stable"":6},""total_orbits"":8}"
periodic_interesting_bifurcation_pre,backend_periodic_orbits,interesting,2988.938916,"{""a"":0.55,""b"":0.3,""epsilon"":0.0625,""grid_size"":15,""max_period"":7,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""residual_threshold"":1e-10,""theta_grid_size"":12}","{""has_period_4"":false,""has_period_7"":false,""period_histogram"":{""p1"":2,""p2"":1},""stability_histogram"":{""saddle"":2,""stable"":1},""total_orbits"":3}"
periodic_interesting_bifurcation_post,backend_periodic_orbits,interesting,2953.838875,"{""a"":0.6,""b"":0.3,""epsilon"":0.0625,""grid_size"":15,""max_period"":7,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""residual_threshold"":1e-10,""theta_grid_size"":12}","{""has_period_4"":false,""has_period_7"":false,""period_histogram"":{""p1"":2,""p2"":1},""stability_histogram"":{""saddle"":2,""stable"":1},""total_orbits"":3}"
periodic_stress_dense_search,backend_periodic_orbits,stress,5740.142083000001,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""grid_size"":20,""max_period"":8,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""residual_threshold"":1e-10,""theta_grid_size"":16}","{""has_period_4"":true,""has_period_7"":true,""period_histogram"":{""p1"":2,""p4"":1,""p5"":1,""p6"":2,""p7"":2,""p8"":7},""stability_histogram"":{""saddle"":2,""stable"":13},""total_orbits"":15}"
manifold_typical_henon,backend_unstable_manifold,typical,2.4965,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""max_iter"":4000,""max_points"":300000,""time_limit_secs"":8.0}","{""minus_points"":2259,""minus_stop_reason"":""Converged"",""plus_points"":2263,""plus_stop_reason"":""Converged"",""total_points"":4522,""unstable_eigenvalue"":-1.9237388581534067}"
manifold_interesting_near_bifurcation,backend_unstable_manifold,interesting,1.2181250000000001,"{""a"":0.55,""b"":0.3,""epsilon"":0.0625,""max_iter"":4000,""max_points"":300000,""time_limit_secs"":8.0}","{""minus_points"":783,""minus_stop_reason"":""SelfIntersection"",""plus_points"":787,""plus_stop_reason"":""SelfIntersection"",""total_points"":1570,""unstable_eigenvalue"":-1.1918347042724222}"
manifold_stress_large_budget,backend_unstable_manifold,stress,2.949667,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""max_iter"":8000,""max_points"":700000,""time_limit_secs"":12.0}","{""minus_points"":2259,""minus_stop_reason"":""Converged"",""plus_points"":2263,""plus_stop_reason"":""Converged"",""total_points"":4522,""unstable_eigenvalue"":-1.9237388581534067}"
ulam_typical_grid48,backend_ulam,typical,24.605959,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""points_per_box"":64,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""subdivisions"":48}","{""samples_per_box"":64,""status"":""ok"",""total_boxes"":2304,""total_samples"":147456}"
ulam_interesting_grid64,backend_ulam,interesting,94.81629199999999,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""points_per_box"":100,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""subdivisions"":64}","{""samples_per_box"":100,""status"":""ok"",""total_boxes"":4096,""total_samples"":409600}"
ulam_stress_grid80,backend_ulam,stress,231.14162499999998,"{""a"":1.4,""b"":0.3,""epsilon"":0.0625,""points_per_box"":144,""range"":{""x_max"":2.0,""x_min"":-2.0,""y_max"":1.5,""y_min"":-1.5},""subdivisions"":80}","{""samples_per_box"":144,""status"":""ok"",""total_boxes"":6400,""total_samples"":921600}"
continuous_rk4_typical,backend_continuous_discretization,typical,1.04575,"{""delta"":0.15,""h"":0.05,""steps"":50000,""x0"":0.1,""y0"":0.1}","{""final_x"":1.0,""final_y"":1.0588333202104488e-148,""status"":""ok"",""steps_completed"":50000}"
continuous_rk4_stress,backend_continuous_discretization,stress,4.111417,"{""delta"":0.15,""h"":0.05,""steps"":200000,""x0"":0.1,""y0"":0.1}","{""final_x"":1.0,""final_y"":3.46e-322,""status"":""ok"",""steps_completed"":200000}"
