path,size_bytes,size_kb
dist/assets/bist-CxZoyqRi.js,36746,35.885
dist/assets/bist_bg-CyNliLSC.wasm,636187,621.276
dist/assets/compute.worker-BwUMheKr.js,7958,7.771
dist/assets/index-CgBrgsp-.css,23688,23.133
dist/assets/index-D6VR2z6H.js,107333,104.817
dist/assets/react-YRoSpSIE.js,185285,180.942
dist/assets/three-jbThX1Og.js,505837,493.981
dist/assets/videoEncoder.worker-mpJspgr7.js,32873,32.103
dist/bist-favicon.png,25104,24.516
dist/bist-logo-full.png,34899,34.081
dist/bist_logo.png,25104,24.516
dist/favicon.ico,628,0.613
dist/index.html,698,0.682
